date         dir    price      nav         
2020-01-03   SELL   1.223      995,530     
2020-02-03   BUY    1.047      995,331     
2020-03-19   BUY    1.044      1,092,459   
2020-07-07   SELL   1.301      1,349,791   
2021-01-29   BUY    1.283      1,349,522   
2021-03-04   SELL   1.411      1,483,861   
2021-07-26   BUY    1.462      1,483,565   
2021-09-01   SELL   1.588      1,611,101   
2022-03-15   BUY    0.747      1,610,778   
2022-09-08   SELL   0.883      1,914,983   
2022-10-26   BUY    0.803      1,914,600   
2023-02-23   SELL   0.874      2,083,469   
2023-06-26   BUY    0.887      2,083,052   
2023-07-28   SELL   0.963      2,261,080   
2023-10-23   BUY    0.915      2,260,628   
2024-01-05   SELL   0.947      2,339,220   
2024-01-22   BUY    0.898      2,338,752   
2024-01-29   SELL   0.969      2,523,160   
2024-07-26   BUY    1.016      2,522,656   
2024-10-08   SELL   1.142      2,834,937   
2025-01-13   BUY    1.058      2,834,371   
2025-03-25   SELL   1.115      2,986,475   
2025-04-07   BUY    1.064      2,985,878   
2025-05-15   SELL   1.148      3,220,961   
2025-09-15   BUY    1.174      3,220,317   
2025-11-13   SELL   1.239      3,397,934   
2026-01-15   BUY    1.153      3,397,255   
2026-03-17   SELL   1.21       3,564,489   
2026-05-18   BUY    1.16       3,563,776   

29 trades
