date,nav
2020-01-02,999600.0
2020-01-03,1010150.5630732948
2020-01-06,1026631.7795455204
2020-01-07,1020549.4359118105
2020-01-08,1031753.4988739502
2020-01-09,1006629.0791037997
2020-01-10,1008243.2032979248
2020-01-13,1009057.2098125828
2020-01-14,999472.3434887251
2020-01-15,1004499.2564204178
2020-01-16,1003538.6321151375
2020-01-17,1002686.7030417847
2020-01-20,1002705.664321132
2020-01-21,1005957.9464328865
2020-01-22,999487.5608211949
2020-01-23,998295.6572168686
2020-02-03,996135.6414135068
2020-02-04,989500.3646547935
2020-02-05,984622.6385491497
2020-02-06,981017.3627319349
2020-02-07,984410.5635010783
2020-02-10,987167.5391260074
2020-02-11,985258.8636933642
2020-02-12,983774.3383568639
2020-02-13,989076.2145586506
2020-02-14,989924.5147509365
2020-02-17,992257.3402797226
2020-02-18,995862.6160969374
2020-02-19,1004345.6180197961
2020-02-20,1006890.5185966537
2020-02-21,1022159.9220577992
2020-02-24,1038913.850855445
2020-02-25,1022584.0721539422
2020-02-26,1026825.5731153715
2020-02-27,1027037.648163443
2020-02-28,1017282.1959521555
2020-03-02,1000104.1170583668
2020-03-03,998134.0165541425
2020-03-04,1017447.8550455377
2020-03-05,1020251.6788078918
2020-03-06,1032246.0705442878
2020-03-09,1020070.7084878439
2020-03-10,1013140.0803573023
2020-03-11,1018604.4597119725
2020-03-12,1006693.4991849533
2020-03-13,979954.161439176
2020-03-16,955516.2359019103
2020-03-17,921653.5025811857
2020-03-18,932801.4202399388
2020-03-19,925746.3750143643
2020-03-20,937464.5680969777
2020-03-23,928882.950655516
2020-03-24,973844.1023606256
2020-03-25,991071.917377921
2020-03-26,987444.2408279299
2020-03-27,997632.091479655
2020-03-30,989772.0445414485
2020-03-31,989545.3451620337
2020-04-01,976194.52736415
2020-04-02,978621.6837462893
2020-04-03,985257.1512832511
2020-04-07,1006200.3456967868
2020-04-08,998942.8030782348
2020-04-09,1000809.0283230053
2020-04-10,1005163.5538941365
2020-04-13,1004956.1955336063
2020-04-14,1013665.2466758688
2020-04-15,1011591.6630705681
2020-04-16,1017397.6971654098
2020-04-17,1004748.8371730763
2020-04-20,1001016.3866835353
2020-04-21,1007859.2125810272
2020-04-22,1005785.6289757265
2020-04-23,1019263.9224101802
2020-04-24,1025484.673226082
2020-04-27,1019678.6391312404
2020-04-28,1014079.9633969289
2020-04-29,1018019.7722469999
2020-04-30,1020715.4309338906
2020-05-06,1019678.6391312404
2020-05-07,1015385.454413861
2020-05-08,1024782.4447174097
2020-05-11,1021718.2087488612
2020-05-12,1020083.9495656353
2020-05-13,1022331.0559425709
2020-05-14,1027233.8334922484
2020-05-15,1038060.8005811196
2020-05-18,1057059.06358612
2020-05-19,1044393.5549161198
2020-05-20,1052769.133230152
2020-05-21,1045414.9669056359
2020-05-22,1044393.5549161198
2020-05-25,1042963.5781307971
2020-05-26,1046640.6612930553
2020-05-27,1038265.0829790228
2020-05-28,1043984.9901203132
2020-05-29,1044189.2725182165
2020-06-01,1050522.0268532166
2020-06-02,1048473.7093386967
2020-06-03,1041398.7872780799
2020-06-04,1034728.1464780697
2020-06-05,1034121.7245871597
2020-06-08,1027248.9431568462
2020-06-09,1027046.8025265429
2020-06-10,1034930.2871083731
2020-06-11,1041803.0685386865
2020-06-12,1041600.9279083832
2020-06-15,1039579.5216053498
2020-06-16,1038770.9590841364
2020-06-17,1039175.2403447431
2020-06-18,1037962.3965629231
2020-06-19,1039579.5216053498
2020-06-22,1048069.4280780901
2020-06-23,1047260.8655568766
2020-06-24,1052920.80320537
2020-06-29,1052920.80320537
2020-06-30,1053729.3657265836
2020-07-01,1058782.8814841667
2020-07-02,1058230.092309856
2020-07-03,1064481.032703355
2020-07-06,1080127.5330635314
2020-07-07,1081264.1301326351
2020-07-08,1085365.3598108164
2020-07-09,1093083.6748429409
2020-07-10,1080903.4692312877
2020-07-13,1090963.847459449
2020-07-14,1088579.5354149689
2020-07-15,1086429.8246996508
2020-07-16,1079977.4294312561
2020-07-17,1074216.4726337309
2020-07-20,1090172.9696257797
2020-07-21,1094734.2995681085
2020-07-22,1113493.6469934871
2020-07-23,1115421.1218962604
2020-07-24,1115063.7241173536
2020-07-27,1131970.9919426693
2020-07-28,1132767.7090480747
2020-07-29,1138212.8299419913
2020-07-30,1134246.7622301723
2020-07-31,1144962.8563256408
2020-08-03,1149632.0410518013
2020-08-04,1150583.3528996306
2020-08-05,1172261.0040888493
2020-08-06,1178390.1327377062
2020-08-07,1184158.3837536501
2020-08-10,1180769.974425024
2020-08-11,1160010.9762641832
2020-08-12,1104150.5323965962
2020-08-13,1120044.0832143715
2020-08-14,1128725.262893955
2020-08-17,1145029.6777735264
2020-08-18,1164935.2490997757
2020-08-19,1153595.64483044
2020-08-20,1131925.6135236728
2020-08-21,1132114.2818131773
2020-08-24,1126855.0389450074
2020-08-25,1127215.9165779203
2020-08-26,1122136.502935611
2020-08-27,1131761.024062716
2020-08-28,1136446.642179921
2020-08-31,1137398.2131004906
2020-09-01,1145340.5689775562
2020-09-02,1133893.1057785307
2020-09-03,1117807.4327649893
2020-09-04,1118805.4010911037
2020-09-07,1115027.6845129456
2020-09-08,1117117.93288088
2020-09-09,1113111.880019379
2020-09-10,1117824.6904465149
2020-09-11,1115971.7604300855
2020-09-14,1115765.8793171488
2020-09-15,1119700.07563335
2020-09-16,1117860.6187191645
2020-09-17,1112937.436145011
2020-09-18,1122954.460588404
2020-09-21,1120850.7391182259
2020-09-22,1097496.352674767
2020-09-23,1084722.7416045356
2020-09-24,1071877.273989005
2020-09-25,1080081.0812679003
2020-09-28,1079490.3841335778
2020-09-29,1090191.7109721992
2020-09-30,1088920.4960219301
2020-10-09,1092510.2956234766
2020-10-12,1105095.7832304146
2020-10-13,1103454.257692616
