date,dir,name,note
2020-11-20,WEEKLY,红利低波+创业板,TOP3
2020-11-27,WEEKLY,红利低波,TOP3 现金50%
2020-12-11,WEEKLY,创业板+红利低波,TOP3
2021-01-15,WEEKLY,创业板+人工智能,TOP3
2021-01-29,WEEKLY,创业板,TOP3 现金50%
2021-02-19,WEEKLY,创业板+科创50,TOP3
2021-02-24,PANIC,ALL,NAV-10.9%
2021-02-26,WEEKLY,创业板,TOP3 现金50%
2021-03-09,HSTOP,创业板,-8%
2021-03-12,WEEKLY,红利低波+创业板,TOP3
2021-03-19,WEEKLY,红利低波,TOP3 现金50%
2021-05-14,WEEKLY,红利低波+黄金ETF,TOP3
2021-05-28,WEEKLY,红利低波+创业板,TOP3
2021-06-04,WEEKLY,创业板+科创50,TOP3
2021-07-30,WEEKLY,科创50+人工智能,TOP3
2021-08-06,WEEKLY,科创50+创业板,TOP3
2021-08-13,WEEKLY,科创50+人工智能,TOP3
2021-08-31,PANIC,ALL,NAV-10.4%
2021-09-03,WEEKLY,红利低波,TOP3 现金50%
2021-09-10,WEEKLY,红利低波+黄金ETF,TOP3
2021-09-17,WEEKLY,红利低波,TOP3 现金50%
2021-09-24,WEEKLY,红利低波+黄金ETF,TOP3
2021-10-08,WEEKLY,红利低波,TOP3 现金50%
2021-10-25,PANIC,ALL,NAV-29.0%
2021-10-29,WEEKLY,创业板,TOP3 现金50%
2021-11-05,WEEKLY,黄金ETF,TOP3 现金50%
2021-11-19,WEEKLY,创业板+人工智能,TOP3
2021-11-26,WEEKLY,创业板,TOP3 现金50%
2021-12-03,WEEKLY,创业板+人工智能,TOP3
2022-01-05,HSTOP,创业板,-8%
2022-01-14,WEEKLY,人工智能+黄金ETF,TOP3
2022-01-21,WEEKLY,人工智能+红利低波,TOP3
2022-01-27,PANIC,ALL,NAV-10.8%
2022-01-28,WEEKLY,红利低波+黄金ETF,TOP3
2022-02-11,WEEKLY,红利低波,TOP3 现金50%
2022-02-18,WEEKLY,红利低波+黄金ETF,TOP3
2022-03-15,HSTOP,红利低波,-8%
2022-03-18,WEEKLY,黄金ETF+红利低波,TOP3
2022-04-22,WEEKLY,黄金ETF,TOP3 现金50%
2022-04-29,WEEKLY,黄金ETF+红利低波,TOP3
2022-05-13,WEEKLY,黄金ETF,TOP3 现金50%
2022-05-27,WEEKLY,红利低波+黄金ETF,TOP3
2022-06-10,WEEKLY,红利低波,TOP3 现金50%
2022-06-17,WEEKLY,红利低波+黄金ETF,TOP3
2022-06-24,WEEKLY,创业板+红利低波,TOP3
2022-07-08,WEEKLY,创业板+科创50,TOP3
2022-08-26,PANIC,ALL,NAV-10.3%
2022-09-02,WEEKLY,红利低波,TOP3 现金50%
2022-09-30,WEEKLY,黄金ETF+红利低波,TOP3
2022-10-28,WEEKLY,黄金ETF,TOP3 现金50%
2022-11-11,WEEKLY,黄金ETF+红利低波,TOP3
2022-11-18,WEEKLY,黄金ETF,TOP3 现金50%
2022-11-25,WEEKLY,黄金ETF+红利低波,TOP3
2022-12-02,WEEKLY,黄金ETF+人工智能,TOP3
2023-01-06,WEEKLY,人工智能+科创50,TOP3
